name,url,image_url,city,state,address,specialization,experience,rating
Advocate Rajesh K.S,https://lawrato.com/advocate-rajesh-ks,https://lawrato.com/expert_images/thumb/advocate-rajesh-ks.jpg,Subedar Chatram Road (SC Road),Bangalore / Bengaluru,"Subedar Chatram Road (SC Road), Bangalore / Bengaluru","Anti Corruption, Anticipatory Bail, Arbitration, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Consumer Court, Corporate, Court Marriage, Criminal, Cyber Crime, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, Insurance, Labour & Service, Landlord/Tenant, Media and Entertainment, Medical Negligence, Motor Accident, NCLT, NRI, Pmla, Pocso Act, Property, Recovery, RERA, Succession Certificate, Supreme Court, Wills / Trusts",19 years,4.7
Advocate Wg Cdr Ajit Kakkar (Retd),https://lawrato.com/advocate-ajit-kakkar,https://lawrato.com/expert_images/thumb/webp/advocate-ajit-kakkar.webp,Dwarka,Delhi,"Dwarka, Delhi","Anticipatory Bail, Armed Forces Tribunal, Criminal, High Court, NRI, Pmla, Pocso Act, Supreme Court",25 years,4.8
Advocate H Gouri Shankar,https://lawrato.com/advocate-gouri-shankar,https://lawrato.com/expert_images/thumb/webp/advocate-gouri-shankar.webp,Banjara Hills,Hyderabad,"Banjara Hills, Hyderabad","Anti Corruption, Arbitration, Banking / Finance, Cheque Bounce, Child Custody, Civil, Corporate, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Dowry Case, Family, Fraud Case, Insurance, Litigation, Medical Negligence, Motor Accident, NRI, Pmla, Pocso Act, Property, Recovery, Startup, Supreme Court, Trademark & Copyright, Wills / Trusts",29 years,4.9
Advocate Suksham Aggarwal,https://lawrato.com/advocate-suksham-aggarwal,https://lawrato.com/expert_images/thumb/webp/advocate-suksham-aggarwal.webp,District and Sessions Court,Ambala,"District and Sessions Court, Ambala","Anti Corruption, Anticipatory Bail, Arbitration, Armed Forces Tribunal, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, GST, High Court, Immigration, Insurance, International Law, Labour & Service, Landlord/Tenant, Litigation, Media and Entertainment, Medical Negligence, Motor Accident, Muslim Law, NCLT, NRI, Patent, Pmla, Pocso Act, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court, Tax, Trademark & Copyright, Wills / Trusts, Women",12 years,4.8
Advocate Rajeev Nigam,https://lawrato.com/advocate-rajeev-nigam,https://lawrato.com/expert_images/thumb/webp/advocate-rajeev-nigam.webp,Kanpur Nagar,Kanpur,"Kanpur Nagar, Kanpur","Cheque Bounce, Child Custody, Court Marriage, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Muslim Law",31 years,4.9
Advocate Bala Janaki,https://lawrato.com/advocate-bala-janaki,https://lawrato.com/expert_images/thumb/webp/advocate-bala-janaki.webp,Thambuchetty Street,Chennai,"Thambuchetty Street, Chennai","Anti Corruption, Anticipatory Bail, Arbitration, Banking / Finance, Cheque Bounce, Child Custody, Consumer Court, Corporate, Customs & Central Excise, Divorce, Dowry Case, Family, Fraud Case, Immigration, International Law, Pmla, Pocso Act, Property, Startup, Supreme Court, Trademark & Copyright, Wills / Trusts, Women",40 years,4.9
Advocate Ravi Jadhav,https://lawrato.com/advocate-ravi-jadhav,https://lawrato.com/expert_images/thumb/webp/advocate-ravi-jadhav.webp,Koregaon Park,Pune,"Koregaon Park, Pune","Anti Corruption, Anticipatory Bail, Arbitration, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, GST, High Court, Insurance, International Law, Litigation, Media and Entertainment, Medical Negligence, NCLT, NRI, Patent, Pmla, Pocso Act, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court, Tax, Trademark & Copyright, Wills / Trusts",17 years,4.7
Advocate J. P. Rinwa,https://lawrato.com/advocate-j-p-rinwa,https://lawrato.com/expert_images/thumb/webp/advocate-j-p-rinwa.webp,"Swej Farm, Sodala",Jaipur,"Swej Farm, Sodala, Jaipur","Anti Corruption, Anticipatory Bail, Arbitration, Cheque Bounce, Child Custody, Court Marriage, Criminal, Divorce, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, Medical Negligence, NCLT, NRI, Pmla, Pocso Act, Property, Recovery, RERA, Succession Certificate, Supreme Court, Wills / Trusts",24 years,4.7
Advocate Atulay Nehra,https://lawrato.com/advocate-atulay-nehra,https://lawrato.com/expert_images/thumb/webp/advocate-atulay-nehra.webp,Sector 137,Noida,"Sector 137, Noida","Anti Corruption, Banking / Finance, Cheque Bounce, Child Custody, Consumer Court, Criminal, Cyber Crime, Divorce, Dowry Case, Family, Fraud Case, Immigration, Insurance, International Law, Landlord/Tenant, Medical Negligence, Motor Accident, Pmla, Pocso Act, Property, Recovery, RERA, Startup, Supreme Court, Wills / Trusts",13 years,4.7
Advocate Sunita Bafna,https://lawrato.com/advocate-sunita-bafna,https://lawrato.com/expert_images/thumb/webp/advocate-sunita-bafna.webp,Mumbai Central,Mumbai,"Mumbai Central, Mumbai","Anticipatory Bail, Cheque Bounce, Child Custody, Civil, Court Marriage, Criminal, Divorce, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, Landlord/Tenant, NRI, Property, Recovery, Succession Certificate, Wills / Trusts, Women",12 years,4.7
Advocate Vikash Shangari,https://lawrato.com/advocate-vikash-shangari,https://lawrato.com/expert_images/thumb/webp/advocate-vikash-shangari.webp,City Civil Court,Jamshedpur,"City Civil Court, Jamshedpur","Anti Corruption, Anticipatory Bail, Arbitration, Armed Forces Tribunal, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, GST, High Court, Immigration, Insurance, International Law, Labour & Service, Landlord/Tenant, Litigation, Media and Entertainment, Medical Negligence, Motor Accident, Muslim Law, NCLT, NRI, Patent, Pmla, Pocso Act, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court, Tax, Trademark & Copyright, Wills / Trusts",18 years,4.6
Advocate Neelkanth Goswami,https://lawrato.com/advocate-neelkanth-goswami,https://lawrato.com/expert_images/thumb/advocate-neelkanth-goswami.jpg,Charai,Thane,"Charai, Thane","Anti Corruption, Anticipatory Bail, Arbitration, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, Insurance, Labour & Service, Landlord/Tenant, Litigation, Media and Entertainment, Medical Negligence, Muslim Law, NCLT, NRI, Pmla, Pocso Act, Property, Recovery, RERA, Succession Certificate, Supreme Court, Wills / Trusts",19 years,4.5
Advocate Sharat Chandra Arukonda,https://lawrato.com/advocate-sharat-chandra-arukonda,https://lawrato.com/expert_images/thumb/advocate-sharat-chandra-arukonda.jpg,Madhapur,Hyderabad,"Madhapur, Hyderabad","Civil, Criminal, Cyber Crime, Divorce, Dowry Case, Family, High Court, Motor Accident, NRI, Property",11 years,4.5
Advocate Rajesh Rai,https://lawrato.com/advocate-rajesh-rai,https://lawrato.com/expert_images/thumb/webp/advocate-rajesh-rai.webp,"Sector-19, Dwarka",Delhi,"Sector-19, Dwarka, Delhi","Anti Corruption, Anticipatory Bail, Arbitration, Bankruptcy / Insolvency, Breach of Contract, Consumer Court, Corporate, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Domestic Violence, Dowry Case, Fraud Case, High Court, Media and Entertainment, NCLT, NRI, Pmla, Property, Recovery, RERA, Succession Certificate, Supreme Court, Wills / Trusts",25 years,4.7
Advocate Vijay Tangri,https://lawrato.com/advocate-vijay-tangri,https://lawrato.com/expert_images/thumb/webp/advocate-vijay-tangri.webp,Saket,Delhi,"Saket, Delhi","Anticipatory Bail, Arbitration, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Cyber Crime, Divorce, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, Insurance, International Law, Labour & Service, Litigation, Media and Entertainment, Medical Negligence, Motor Accident, NCLT, NRI, Patent, Pmla, Pocso Act, Property, Recovery, RERA, Succession Certificate, Trademark & Copyright, Wills / Trusts",26 years,4.7
Advocate Ankit Sharma,https://lawrato.com/advocate-ankit-sharma,https://lawrato.com/expert_images/thumb/advocate-ankit-sharma.jpg,Sector 38,Gurgaon / Gurugram,"Sector 38, Gurgaon / Gurugram","Arbitration, Banking / Finance, Cheque Bounce, Child Custody, Civil, Corporate, Criminal, Cyber Crime, Divorce, Family, Labour & Service, Medical Negligence, Property, Recovery, RERA, Supreme Court",13 years,4.8
Advocate Sunil Kumar Bakshi,https://lawrato.com/advocate-sunil-kumar-bakshi,https://lawrato.com/expert_images/thumb/webp/advocate-sunil-kumar-bakshi.webp,Sector-16,Faridabad,"Sector-16, Faridabad","Anti Corruption, Anticipatory Bail, Arbitration, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Consumer Court, Corporate, Court Marriage, Criminal, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, Insurance, Labour & Service, Landlord/Tenant, Media and Entertainment, Medical Negligence, NCLT, NRI, Pmla, Pocso Act, Property, Recovery, RERA, Succession Certificate, Wills / Trusts",38 years,4.8
Advocate Madhuri Bakshi,https://lawrato.com/advocate-madhuri-bakshi,https://lawrato.com/expert_images/thumb/advocate-madhuri-bakshi.jpg,Sector 16,Faridabad,"Sector 16, Faridabad","Anticipatory Bail, Child Custody, Divorce, Domestic Violence, Dowry Case, Family, NRI, Women",10 years,4.8
Advocate Anshul Gupta,https://lawrato.com/advocate-anshul-gupta,https://lawrato.com/expert_images/thumb/webp/advocate-anshul-gupta.webp,Panchsheel Enclave,Delhi,"Panchsheel Enclave, Delhi","Anti Corruption, Arbitration, Banking / Finance, Breach of Contract, Cheque Bounce, Consumer Court, Corporate, Fraud Case, High Court, Insurance, Medical Negligence, NCLT, NRI, Pmla, Pocso Act, Property, Recovery, RERA, Startup, Supreme Court, Trademark & Copyright, Wills / Trusts",11 years,4.7
Advocate Balaji T,https://lawrato.com/advocate-balaji-t,https://lawrato.com/expert_images/thumb/advocate-balaji-t.jpg,High Court,Chennai,"High Court, Chennai","Anticipatory Bail, Cheque Bounce, Civil, Consumer Court, Court Marriage, Criminal, Divorce, Documentation, Family, High Court, Labour & Service, Succession Certificate, Wills / Trusts",4 years,5.0
Advocate Jia Kapur,https://lawrato.com/advocate-jia-kapur,https://lawrato.com/expert_images/thumb/advocate-jia-kapur.jpg,Jangpura Extension,Delhi,"Jangpura Extension, Delhi","Arbitration, Child Custody, Civil, Consumer Court, Corporate, Divorce, Dowry Case, Family, Fraud Case, High Court, International Law, Litigation, NRI, Property, Recovery, Startup, Trademark & Copyright, Wills / Trusts, Women",7 years,4.7
Advocate Shiva Kumar Biradar,https://lawrato.com/advocate-shiva-kumar-biradar,https://lawrato.com/expert_images/thumb/webp/advocate-shiva-kumar-biradar.webp,Basaveshwar Nagar,Bangalore / Bengaluru,"Basaveshwar Nagar, Bangalore / Bengaluru","Anti Corruption, Anticipatory Bail, Arbitration, Breach of Contract, Cheque Bounce, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Divorce, Documentation, Domestic Violence, Dowry Case, Family, High Court, Litigation, Medical Negligence, NRI, Pmla, Pocso Act, Property, RERA, Succession Certificate",13 years,4.8
Advocate Prashant Vaxish,https://lawrato.com/advocate-prashant-vaxish13039,https://lawrato.com/expert_images/thumb/webp/advocate-prashant-vaxish13039.webp,Lajpat Nagar 1,Delhi,"Lajpat Nagar 1, Delhi","Anti Corruption, Anticipatory Bail, Armed Forces Tribunal, Consumer Court, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Dowry Case, Immigration, Insurance, Labour & Service, Medical Negligence, NRI, Pmla, Pocso Act, Supreme Court",7 years,4.9
Advocate Abhishek Singh,https://lawrato.com/advocate-abhishek-singh,https://lawrato.com/expert_images/thumb/webp/advocate-abhishek-singh.webp,South Civil Lines,Jabalpur,"South Civil Lines, Jabalpur","Anti Corruption, Anticipatory Bail, Cheque Bounce, Child Custody, Court Marriage, Criminal, Divorce, Domestic Violence, Dowry Case, Family, High Court, Labour & Service, NRI, Pmla, Pocso Act",10 years,4.9
Advocate Kriteka Sheokand,https://lawrato.com/advocate-kriteka-sheokand,https://lawrato.com/expert_images/thumb/advocate-kriteka-sheokand.jpg,High Court,Chandigarh,"High Court, Chandigarh","Anticipatory Bail, Child Custody, Civil, Court Marriage, Criminal, Divorce, Domestic Violence, Dowry Case, Fraud Case, High Court, Litigation, NCLT, NRI, Pocso Act, RERA, Women",13 years,5.0
Advocate Preeti Manderna,https://lawrato.com/advocate-preeti-manderna-pm,https://lawrato.com/expert_images/thumb/advocate-preeti-manderna-pm.jpg,High Court,Chandigarh,"High Court, Chandigarh","Anticipatory Bail, Arbitration, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Family, High Court, Immigration, Property, RERA, Supreme Court",11 years,5.0
Advocate Anuradha Vasisht,https://lawrato.com/advocate-anuradha-vasisht,https://lawrato.com/expert_images/thumb/webp/advocate-anuradha-vasisht.webp,South Civil Lines,Jabalpur,"South Civil Lines, Jabalpur","Child Custody, Civil, Court Marriage, Divorce, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, NRI, Property, Recovery, Succession Certificate, Women",8 years,5.0
Advocate Himanshu Sharma,https://lawrato.com/advocate-himanshu-sharma-gurgaon,https://lawrato.com/expert_images/thumb/webp/advocate-himanshu-sharma-gurgaon.webp,Civil Lines,Gurgaon / Gurugram,"Civil Lines, Gurgaon / Gurugram","Anticipatory Bail, Cheque Bounce, Child Custody, Civil, Consumer Court, Court Marriage, Criminal, Cyber Crime, Divorce, Documentation, Family, Insurance, Labour & Service, Motor Accident, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court",15 years,4.9
Advocate K Prema,https://lawrato.com/advocate-k-prema,https://lawrato.com/expert_images/thumb/webp/advocate-k-prema.webp,Armenian Street,Chennai,"Armenian Street, Chennai","Arbitration, Breach of Contract, Child Custody, Civil, Consumer Court, Court Marriage, Divorce, Documentation, Domestic Violence, Family, High Court, Litigation, NRI, Property, Succession Certificate, Trademark & Copyright, Wills / Trusts, Women",22 years,4.8
Advocate Rishabh Gandhi,https://lawrato.com/advocate-rishabh-gandhi,https://lawrato.com/expert_images/thumb/webp/advocate-rishabh-gandhi.webp,Erandvane,Pune,"Erandvane, Pune","Arbitration, Bankruptcy / Insolvency, Consumer Court, Corporate, Divorce, Documentation, Dowry Case, High Court, Labour & Service, NCLT, NRI, Property, RERA, Startup, Trademark & Copyright",16 years,4.9
Advocate Vajrapu Manavallayya,https://lawrato.com/advocate-vajrapu-manavallayya,https://lawrato.com/expert_images/thumb/webp/advocate-vajrapu-manavallayya.webp,Peddawaltair,Visakhapatnam,"Peddawaltair, Visakhapatnam","Anti Corruption, Anticipatory Bail, Arbitration, Armed Forces Tribunal, Banking / Finance, Bankruptcy / Insolvency, Breach of Contract, Cheque Bounce, Child Custody, Civil, Consumer Court, Corporate, Court Marriage, Criminal, Customs & Central Excise, Cyber Crime, Divorce, Documentation, Domestic Violence, Dowry Case, Family, Fraud Case, GST, High Court, Immigration, Insurance, International Law, Labour & Service, Landlord/Tenant, Litigation, Media and Entertainment, Medical Negligence, Motor Accident, Muslim Law, NCLT, NRI, Patent, Pmla, Pocso Act, Property, R.T.I, Recovery, RERA, Startup, Succession Certificate, Supreme Court, Tax, Trademark & Copyright, Wills / Trusts",15 years,4.8
Advocate Anil Vyas,https://lawrato.com/advocate-anil-vyas,https://lawrato.com/expert_images/thumb/webp/advocate-anil-vyas.webp,High Court,Jodhpur,"High Court, Jodhpur","Anti Corruption, Anticipatory Bail, Cheque Bounce, Civil, Consumer Court, Court Marriage, Criminal, Divorce, Domestic Violence, Dowry Case, Family, Fraud Case, High Court, Litigation, Motor Accident, NRI, Pmla, Pocso Act, Property, Recovery, Succession Certificate, Wills / Trusts",24 years,4.7
Advocate Love Kumar Soni,https://lawrato.com/advocate-love-kumar-soni,https://lawrato.com/expert_images/thumb/webp/advocate-love-kumar-soni.webp,Sancoale,Goa,"Sancoale, Goa","Anticipatory Bail, Banking / Finance, Cheque Bounce, Child Custody, Civil, Consumer Court, Court Marriage, Criminal, Cyber Crime, Divorce, Documentation, Domestic Violence, Family, High Court, Landlord/Tenant, Property, Recovery",8 years,4.9
